id,modern,unicode,traditional_or_variants,traditional_unicode,variant_unicodes,pinyin,radical,stroke_count,source_work,source_note,brief_gloss,simple_annotation,common_words,xinhua_base_status,shape_status,meaning_status,phonology_status,review_status,review_tags,review_notes
100,刀,U+5200,刀,,,dao1,刀,2,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,刀具|兵器|刀形工具|量词|刀部字义部件,刀：现代主要用于表示刀具；兵器；刀形工具；量词；刀部字义部件。常见用法如：小刀、菜刀、刀剑、刀片、一刀纸。,小刀|菜刀|刀剑|刀片|一刀纸,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
101,弓,U+5F13,弓,,,gong1,弓,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,弓|弓形物|弯曲|弓部字义部件,弓：现代主要用于表示弓；弓形物；弯曲；弓部字义部件。常见用法如：弓箭、弯弓、弓形、弹弓、弓背。,弓箭|弯弓|弓形|弹弓|弓背,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
102,衣,U+8863,衣,,,yi1|yi4,衣,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,衣服|穿衣|覆盖物|衣部字义部件,衣：现代主要用于表示衣服；穿衣；覆盖物；衣部字义部件。常见用法如：衣服、上衣、衣食、穿衣、雨衣。,衣服|上衣|衣食|穿衣|雨衣,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：yi1、yi4；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
103,食,U+98DF,食,,,shi2|si4|yi4,食,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,食物|吃|供养|食粮|天体被遮蔽,食：现代主要用于表示食物；吃；供养；食粮；天体被遮蔽。常见用法如：食物、食品、饮食、粮食、日食。,食物|食品|饮食|粮食|日食,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：shi2、si4、yi4；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
104,井,U+4E95,井,,,jing3,二,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,水井|井状物|整齐|矿井等深洞,井：现代主要用于表示水井；井状物；整齐；矿井等深洞。常见用法如：水井、井口、矿井、井然、井田。,水井|井口|矿井|井然|井田,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
105,床,U+5E8A,床|牀,,牀:U+7240,chuang2,广,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,睡床|床位|器物底架|像床一样的承托面,床：现代主要用于表示睡床；床位；器物底架；像床一样的承托面。常见用法如：床铺、起床、病床、河床、机床。,床铺|起床|病床|河床|机床,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：牀；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
106,鼎,U+9F0E,鼎,,,ding3,鼎,12,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,古代礼器或炊器|重大或显赫|鼎立|鼎盛,鼎：现代主要用于表示古代礼器或炊器；重大或显赫；鼎立；鼎盛。常见用法如：鼎盛、问鼎、鼎立、大名鼎鼎、钟鼎。,鼎盛|问鼎|鼎立|大名鼎鼎|钟鼎,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
107,网,U+7F51,网|網,U+7DB2,網:U+7DB2,wang3,网,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,网具|网状结构|捕捉或笼罩|网络|互联网,网：现代主要用于表示网具；网状结构；捕捉或笼罩；网络；互联网。常见用法如：渔网、网络、上网、网球、法网。,渔网|网络|上网|网球|法网,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：網；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
108,一,U+4E00,一,,,yi1,一,1,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字一|同一|统一|全或满|表示动作短暂,一：现代主要用于表示数字一；同一；统一；全或满；表示动作短暂。常见用法如：一个、一起、统一、一定、一会儿。,一个|一起|统一|一定|一会儿,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
109,二,U+4E8C,二,,,er4,二,2,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字二|第二|两样或不一致|不专一,二：现代主要用于表示数字二；第二；两样或不一致；不专一。常见用法如：二人、第二、二月、二心、二手。,二人|第二|二月|二心|二手,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
110,三,U+4E09,三,,,san1,一,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字三|第三|多次或多数虚指,三：现代主要用于表示数字三；第三；多次或多数虚指。常见用法如：三个、三月、第三、再三、三思。,三个|三月|第三|再三|三思,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
111,十,U+5341,十,,,shi2,十,2,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字十|十分或很|完整或全,十：现代主要用于表示数字十；十分或很；完整或全。常见用法如：十个、十分、十足、十全十美、十月。,十个|十分|十足|十全十美|十月,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
112,百,U+767E,百,,,bai3,白,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字一百|许多|百分比|各种,百：现代主要用于表示数字一百；许多；百分比；各种。常见用法如：一百、百姓、百分、百货、百年。,一百|百姓|百分|百货|百年,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
113,千,U+5343,千,,,qian1,十,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字一千|很多|极多或反复,千：现代主要用于表示数字一千；很多；极多或反复。常见用法如：一千、千万、千古、千里、千方百计。,一千|千万|千古|千里|千方百计,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
114,万,U+4E07,万|萬,U+842C,萬:U+842C,wan4|mo4,一,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数字一万|极多|完全或绝对|姓氏,万：现代主要用于表示数字一万；极多；完全或绝对；姓氏。常见用法如：一万、万物、万一、千万、万能。,一万|万物|万一|千万|万能,draft,draft,draft,draft,needs_review,polyphonic|variant_or_traditional|historical_draft_review,多音字：wan4、mo4；需按义项和常用词复核读音排序。|含繁体/异体：萬；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
115,大,U+5927,大,,,da4|dai4,大,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,大|程度深|年长|重要|排行第一,大：现代主要用于表示大；程度深；年长；重要；排行第一。常见用法如：大小、大人、大学、大约、大哥。,大小|大人|大学|大约|大哥,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：da4、dai4；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
116,小,U+5C0F,小,,,xiao3,小,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,小|年幼|少或轻微|地位低|谦称或亲昵称呼,小：现代主要用于表示小；年幼；少或轻微；地位低；谦称或亲昵称呼。常见用法如：大小、小孩、小心、小说、小事。,大小|小孩|小心|小说|小事,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
117,长,U+957F,長,U+9577,長:U+9577,chang2|zhang3,长,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,长度大|时间久|擅长|生长|年长或首领,长：现代主要用于表示长度大；时间久；擅长；生长；年长或首领。常见用法如：长短、长久、成长、长官、擅长。,长短|长久|成长|长官|擅长,draft,draft,draft,draft,needs_review,polyphonic|variant_or_traditional|historical_draft_review,多音字：chang2、zhang3；需按义项和常用词复核读音排序。|含繁体/异体：長；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
118,短,U+77ED,短,,,duan3,矢,12,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,长度小|时间少|缺点|亏欠或不足,短：现代主要用于表示长度小；时间少；缺点；亏欠或不足。常见用法如：长短、短处、短期、短缺、短见。,长短|短处|短期|短缺|短见,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
119,高,U+9AD8,高,,,gao1,高,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,高度大|等级高|程度高|高明|敬辞,高：现代主要用于表示高度大；等级高；程度高；高明；敬辞。常见用法如：高山、高低、高兴、高级、高明。,高山|高低|高兴|高级|高明,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
120,低,U+4F4E,低,,,di1,亻,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,高度小|等级低|程度小|声音低|俯下,低：现代主要用于表示高度小；等级低；程度小；声音低；俯下。常见用法如：高低、低头、降低、低级、低声。,高低|低头|降低|低级|低声,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
121,阴,U+9634,陰,U+9670,陰:U+9670,yin1,阝,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,阴暗|云雨天气|阴性|隐秘|阴阳之阴,阴：现代主要用于表示阴暗；云雨天气；阴性；隐秘；阴阳之阴。常见用法如：阴天、阴阳、阴影、阴性、阴谋。,阴天|阴阳|阴影|阴性|阴谋,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：陰；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
122,阳,U+9633,陽,U+967D,陽:U+967D,yang2,阝,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,阳光|太阳|阳性|外露|阴阳之阳,阳：现代主要用于表示阳光；太阳；阳性；外露；阴阳之阳。常见用法如：太阳、阳光、阴阳、阳性、向阳。,太阳|阳光|阴阳|阳性|向阳,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：陽；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
123,自,U+81EA,自,,,zi4,自,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,自己|亲自|自然|从或由|起始来源,自：现代主要用于表示自己；亲自；自然；从或由；起始来源。常见用法如：自己、自然、自从、自动、自信。,自己|自然|自从|自动|自信,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
124,至,U+81F3,至,,,zhi4,至,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,到|达到极点|最|至于|甚至,至：现代主要用于表示到；达到极点；最；至于；甚至。常见用法如：至今、到至、甚至、至于、至高。,至今|到至|甚至|至于|至高,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
125,上,U+4E0A,上,,,shang4|shang3,一,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,上方|等级高|前一|到某处去|进行或添加,上：现代主要用于表示上方；等级高；前一；到某处去；进行或添加。常见用法如：上面、上午、上级、上学、上一年。,上面|上午|上级|上学|上一年,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：shang4、shang3；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
126,下,U+4E0B,下,,,xia4,一,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,下方|等级低|后一个|向下移动|结束或离开,下：现代主要用于表示下方；等级低；后一个；向下移动；结束或离开。常见用法如：下面、下午、下级、下雨、下班。,下面|下午|下级|下雨|下班,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
127,前,U+524D,前,,,qian2,刂,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,前方|以前|次序在先|向前,前：现代主要用于表示前方；以前；次序在先；向前。常见用法如：前面、以前、前进、前后、日前。,前面|以前|前进|前后|日前,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
128,后,U+540E,后|後,U+5F8C,後:U+5F8C,hou4,口,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,后面|以后|次序在后|王后或皇后,后：现代主要用于表示后面；以后；次序在后；王后或皇后。常见用法如：后来、后面、以后、皇后、前后。,后来|后面|以后|皇后|前后,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：後；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
129,左,U+5DE6,左,,,zuo3,工,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,左方|左手|偏差或不正|政治左派,左：现代主要用于表示左方；左手；偏差或不正；政治左派。常见用法如：左右、左手、左边、左派、左证。,左右|左手|左边|左派|左证,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
130,右,U+53F3,右,,,you4,口,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,右方|右手|帮助或保佑|政治右派,右：现代主要用于表示右方；右手；帮助或保佑；政治右派。常见用法如：左右、右手、右边、右派、座右铭。,左右|右手|右边|右派|座右铭,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
131,年,U+5E74,年,,,nian2,干,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,一年|年份|年龄|岁月|春节或年节,年：现代主要用于表示一年；年份；年龄；岁月；春节或年节。常见用法如：今年、年龄、过年、年纪、年成。,今年|年龄|过年|年纪|年成,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
132,时,U+65F6,時|时,U+6642,時:U+6642,shi2,日,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,时间|时刻|时机|时代|时常,时：现代主要用于表示时间；时刻；时机；时代；时常。常见用法如：时间、时候、时代、时机、小时。,时间|时候|时代|时机|小时,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：時；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
133,朝,U+671D,朝,,,chao2|zhao1,月,12,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,早晨|朝见或朝廷|朝代|向着,朝：现代主要用于表示早晨；朝见或朝廷；朝代；向着。常见用法如：朝阳、朝廷、朝代、朝向、今朝。,朝阳|朝廷|朝代|朝向|今朝,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：chao2、zhao1；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
134,夕,U+5915,夕,,,xi1,夕,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,傍晚|夜晚|某一日的前夜,夕：现代主要用于表示傍晚；夜晚；某一日的前夜。常见用法如：夕阳、朝夕、前夕、除夕、七夕。,夕阳|朝夕|前夕|除夕|七夕,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
135,夜,U+591C,夜,,,ye4,夕,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,夜晚|夜间|黑暗时段|与昼相对的时间,夜：现代主要用于表示夜晚；夜间；黑暗时段；与昼相对的时间。常见用法如：夜晚、黑夜、夜间、半夜、昼夜。,夜晚|黑夜|夜间|半夜|昼夜,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
136,春,U+6625,春|萅,,萅:U+8405,chun1,日,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,春季|青春|生机|男女情欲相关义,春：现代主要用于表示春季；青春；生机；男女情欲相关义。常见用法如：春天、春节、青春、春风、春色。,春天|春节|青春|春风|春色,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：萅；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
137,夏,U+590F,夏,,,xia4,夂,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,夏季|中国古代朝代名|华夏相关,夏：现代主要用于表示夏季；中国古代朝代名；华夏相关。常见用法如：夏天、夏季、华夏、夏朝、盛夏。,夏天|夏季|华夏|夏朝|盛夏,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
138,秋,U+79CB,秋|秌,,秌:U+79CC,qiu1,禾,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,秋季|收获季节|一年或岁月|某种关键时刻,秋：现代主要用于表示秋季；收获季节；一年或岁月；某种关键时刻。常见用法如：秋天、秋季、中秋、春秋、千秋。,秋天|秋季|中秋|春秋|千秋,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：秌；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
139,冬,U+51AC,冬,,,dong1,夂,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,冬季|寒冷时节|一年末季,冬：现代主要用于表示冬季；寒冷时节；一年末季。常见用法如：冬天、冬季、寒冬、冬眠、冬至。,冬天|冬季|寒冬|冬眠|冬至,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
140,早,U+65E9,早,,,zao3,日,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,早晨|时间在前|提前|早已,早：现代主要用于表示早晨；时间在前；提前；早已。常见用法如：早上、早晨、早饭、早已、提早。,早上|早晨|早饭|早已|提早,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
141,晚,U+665A,晚|晩,,晩:U+6669,wan3,日,11,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,晚上|时间迟|后来的|晚年,晚：现代主要用于表示晚上；时间迟；后来的；晚年。常见用法如：晚上、晚饭、晚年、迟晚、晚辈。,晚上|晚饭|晚年|迟晚|晚辈,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：晩；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
142,昼,U+663C,晝,U+665D,晝:U+665D,zhou4,日,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,白天|与夜相对的时段,昼：现代主要用于表示白天；与夜相对的时段。常见用法如：白昼、昼夜、昼伏夜出、昼间。,白昼|昼夜|昼伏夜出|昼间,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：晝；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
143,今,U+4ECA,今,,,jin1,人,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,现在|今天|现代|此后,今：现代主要用于表示现在；今天；现代；此后。常见用法如：今天、如今、今年、今后、古今。,今天|如今|今年|今后|古今,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
144,古,U+53E4,古,,,gu3,口,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,古代|古老|古朴|古怪,古：现代主要用于表示古代；古老；古朴；古怪。常见用法如：古代、古人、古今、古老、古怪。,古代|古人|古今|古老|古怪,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
145,来,U+6765,來,U+4F86,來:U+4F86,lai2,木,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,来到|未来|以来|趋向说话者|用作助词,来：现代主要用于表示来到；未来；以来；趋向说话者；用作助词。常见用法如：回来、未来、以来、来往、看来。,回来|未来|以来|来往|看来,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：來；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
146,去,U+53BB,去,,,qu4,厶,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,离开|前往|除掉|过去|距离,去：现代主要用于表示离开；前往；除掉；过去；距离。常见用法如：出去、去年、去掉、过去、去处。,出去|去年|去掉|过去|去处,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
147,始,U+59CB,始,,,shi3,女,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,开始|最初|才|始祖或源头,始：现代主要用于表示开始；最初；才；始祖或源头。常见用法如：开始、始终、原始、始祖、初始。,开始|始终|原始|始祖|初始,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
148,终,U+7EC8,終,U+7D42,終:U+7D42,zhong1,纟,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,结束|最后|始终|终身|到底,终：现代主要用于表示结束；最后；始终；终身；到底。常见用法如：终于、始终、终点、最终、终身。,终于|始终|终点|最终|终身,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：終；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
149,有,U+6709,有,,,you3,月,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,存在|拥有|具有|发生|表示估量或不确定,有：现代主要用于表示存在；拥有；具有；发生；表示估量或不确定。常见用法如：有无、拥有、有用、有时、有些。,有无|拥有|有用|有时|有些,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
150,无,U+65E0,无|無,U+7121,無:U+7121,wu2|mo2,无,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,没有|不存在|不|无论|未,无：现代主要用于表示没有；不存在；不；无论；未。常见用法如：有无、无论、无法、无知、无数。,有无|无论|无法|无知|无数,draft,draft,draft,draft,needs_review,polyphonic|variant_or_traditional|historical_draft_review,多音字：wu2、mo2；需按义项和常用词复核读音排序。|含繁体/异体：無；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
151,是,U+662F,是,,,shi4,日,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,判断词|正确|这或此|表示肯定,是：现代主要用于表示判断词；正确；这或此；表示肯定。常见用法如：是非、是否、于是、正是、可是。,是非|是否|于是|正是|可是,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
152,非,U+975E,非,,,fei1,非,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,不是|错误|责备|不合于|非常或必须,非：现代主要用于表示不是；错误；责备；不合于；非常或必须。常见用法如：是非、非常、非法、非要、非洲。,是非|非常|非法|非要|非洲,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
153,不,U+4E0D,不,,,bu4|fou3,一,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,否定副词|表示拒绝或相反|用于构成疑问或反问,不：现代主要用于表示否定副词；表示拒绝或相反；用于构成疑问或反问。常见用法如：不是、不用、不行、不但、不然。,不是|不用|不行|不但|不然,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：bu4、fou3；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
154,可,U+53EF,可,,,ke3|ke4,口,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,可以|许可|值得|适合|表示约略或转折,可：现代主要用于表示可以；许可；值得；适合；表示约略或转折。常见用法如：可以、可是、可爱、可靠、可见。,可以|可是|可爱|可靠|可见,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：ke3、ke4；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
